donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_tu_moneda_local,trabajo_de,anos_de_experiencia,plataformas_que_utilizas_en_tu_puesto_actual,lenguajes_de_programacion_o_tecnologias_que_utilices_en_tu_puesto_actual,frameworksherramientas_y_librerias_que_utilices_en_tu_puesto_actual,bases_de_datos,qa_testing,tengo_edad,me_identifico_genero,seniority
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1700000,UX Researcher,5,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,29,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4300000,Technical Leader,16,Ninguna de las anteriores,Scala,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,44,Hombre Cis,Senior
Entre Ríos,Full-Time,Staff (planta permanente),3200000,Developer,10,in house solution,Go,Ninguno de los anteriores,"Amazon DynamoDB, Google Cloud Storage, MongoDB, MySQL, Redis",Cucumber,37,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4435500,UX Designer,6,Azure,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,37,Mujer Cis,Senior
Mendoza,Full-Time,Staff (planta permanente),3296462.5,Developer,3,Ninguna de las anteriores,"CSS, HTML, Javascript, TypeScript","Node.js, React.js",Ninguna de las anteriores,Jest,28,Hombre Cis,Semi-Senior
Santa Fe,Full-Time,Contractor,2300000,Architect,15,Amazon Web Services,.NET,.NET Core,PostgreSQL,Xunit,37,Hombre Cis,Senior
Entre Ríos,Full-Time,Staff (planta permanente),995000,Data Engineer,1,"Azure, Google Cloud Platform","Python, SQL",Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,31,Hombre Cis,Junior
Buenos Aires,Full-Time,Staff (planta permanente),4500000,Developer,5,"Amazon Web Services, Docker","CSS, HTML, Javascript, SQL, TypeScript","Next.js, Node.js, React.js, Nestjs","Amazon DynamoDB, Amazon RDS/Aurora",Jest,25,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3100000,Developer,10,"Amazon Web Services, Docker, Kubernetes, Linux, Windows Server","C, C++, COBOL, HTML, Java, Javascript, Kotlin, Python, Smalltalk, SQL","Akka, Hibernate, Node.js, Spring","ElasticSearch, MongoDB, MySQL, Oracle, PostgreSQL, Redis","JUnit, Postman, SoapUI",34,Hombre Cis,Senior
Mendoza,Full-Time,Staff (planta permanente),1500000,Developer,15,"Amazon Web Services, Firebase, Google Cloud Platform, Linux","CSS, Go, HTML, Javascript, PHP, SQL","Angular, Bootstrap, Cordova, jQuery, Laravel, Node.js, React.js, Vue.js","Amazon RDS/Aurora, MongoDB, MySQL",Ninguna de las anteriores,33,Hombre Cis,Senior
Córdoba,Full-Time,Staff (planta permanente),3300000,Architect,15,"Azure, Docker, Kubernetes",".NET, C#, SQL",.NET Core,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, Redis, SQLite","NUnit, Postman, SoapUI, Visual Studio Coded UI, Xunit",44,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2295000,QA / Tester,3,Azure,Ninguno de los anteriores,Ninguno de los anteriores,"Amazon DynamoDB, Amazon Redshift, Microsoft SQL Server, MySQL, PostgreSQL",Postman,24,Mujer Cis,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),1400000,Developer,8,Ninguna de las anteriores,"Javascript, Kotlin, Objective-C, TypeScript",React Native,Ninguna de las anteriores,Ninguna de las anteriores,34,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),1900000,SysAdmin / DevOps / SRE,10,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Windows Server",".NET, C#, HTML, Javascript",".NET Core, Angular, Django","Microsoft SQL Server, Redis",Ninguna de las anteriores,30,Hombre Cis,Senior
La Rioja,Full-Time,Tercerizado (trabajo a través de consultora o agencia),3750000,QA / Tester,4,"Amazon Web Services, Docker, Linux","Javascript, Kotlin, Python, SQL",Ninguno de los anteriores,"Amazon DynamoDB, MySQL, PostgreSQL","Postman, Visual Studio Coded UI",35,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4165000,Developer,7,"Amazon Web Services, Docker, Kubernetes, Linux, OpenShift, Serverless","Go, Java, Javascript, Kotlin, Python","Hibernate, Spring","Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, ElasticSearch, MySQL, Redis","JUnit, Postman",30,Hombre Cis,Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),3000000,Manager / Director,13,Ninguna de las anteriores,"Python, VBA",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,33,Hombre Cis,Senior
Mendoza,Full-Time,Contractor,1100000,QA / Tester,2,Amazon Web Services,"Javascript, SQL",Node.js,MySQL,"Cucumber, Cypress, Postman",37,Hombre Cis,Junior
Buenos Aires,Full-Time,Staff (planta permanente),3501000,SysAdmin / DevOps / SRE,10,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, Python",Ninguno de los anteriores,"Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora",Ninguna de las anteriores,35,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3016310,Developer,5,"Amazon Web Services, Docker, Kubernetes","CSS, Go, HTML, Java, Javascript, Kotlin, TypeScript","Next.js, Node.js, React.js, Spring",Ninguna de las anteriores,"Cypress, Jest, JUnit",30,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1628615,Consultant,7,Ninguna de las anteriores,"C, Groovy, Java, Ruby",Ninguno de los anteriores,Oracle,Ninguna de las anteriores,34,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6200000,Data Engineer,15,"Google Cloud Platform, Kubernetes, Linux",Python,Ninguno de los anteriores,"Google Cloud Storage, MongoDB, PostgreSQL",Ninguna de las anteriores,42,Hombre Cis,Senior
Santa Fe,Full-Time,Staff (planta permanente),2300000,Developer,3,Ninguna de las anteriores,"CSS, Go, HTML, Javascript","Node.js, React.js",MySQL,"Cypress, Jest, Postman",36,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1100000,Developer,3,Ninguna de las anteriores,"CSS, HTML, Javascript, TypeScript",Angular,Ninguna de las anteriores,Ninguna de las anteriores,27,Mujer Cis,Semi-Senior
Buenos Aires,Full-Time,Contractor,2300000,UX Designer,5,Ninguna de las anteriores,"CSS, HTML, Javascript, Ruby","Bootstrap, Rails, React.js, Tailwind ",Ninguna de las anteriores,Ninguna de las anteriores,29,Mujer Cis,Semi-Senior
Entre Ríos,Full-Time,Contractor,4332000,Developer,5,Azure,".NET, C#, HTML, Javascript, SQL, TypeScript",".NET Core, Angular, jQuery",Microsoft SQL Server,Ninguna de las anteriores,30,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,7000000,Developer,21,"Amazon Web Services, Docker, Linux, Serverless","Bash/Shell, CSS, Go, HTML, Java, Javascript, Kotlin, Python, SQL, TypeScript","Hibernate, Next.js, Node.js, React.js, Spring","Amazon DynamoDB, Amazon RDS/Aurora, MongoDB, PostgreSQL","Cypress, JUnit, Postman",44,Hombre Cis,Senior
Chubut,Full-Time,Staff (planta permanente),2000000,Manager / Director,9,"Kubernetes, Linux","CSS, HTML, Java, Javascript, SQL",jQuery,"Oracle, PostgreSQL",Ninguna de las anteriores,34,Mujer Cis,Senior
Santa Fe,Part-Time,Freelance,920000,Developer,20,"Docker, Linux, VMWare, Windows Server","Arduino, CSS, Delphi, HTML, Java, Javascript, Python",Flask,"MariaDB, Microsoft SQL Server, MySQL, PostgreSQL",Postman,42,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,6000000,Developer,8,"Amazon Web Services, Kubernetes","Go, Java, Python",Spring,"ElasticSearch, PostgreSQL",JUnit,29,Hombre Cis,Senior
San Luis,Full-Time,Staff (planta permanente),2221725,Learning,6,"Ninguna de las anteriores, Moodle",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,37,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2147000,SysAdmin / DevOps / SRE,30,"Amazon Web Services, Azure, *BSD, Docker, Google Cloud Platform, Kubernetes, Linux","Bash/Shell, Perl, Python, Ruby, SQL",Hadoop,"Amazon DynamoDB, MariaDB, PostgreSQL",Ninguna de las anteriores,45,Hombre Cis,Senior
Mendoza,Full-Time,Staff (planta permanente),1900000,Technical Leader,19,"Amazon Web Services, Azure, Google Cloud Platform, Kubernetes, Linux, Serverless, VMWare, Windows Server","Bash/Shell, Python, SQL",WordPress,"MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL, PostgreSQL",Ninguna de las anteriores,37,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),950000,Architect,0,"Google Cloud Platform, Windows Server","CSS, Groovy, HTML, Java, Javascript, Perl, SQL","Bootstrap, Node.js, React.js","Microsoft SQL Server, Neo4j",Ninguna de las anteriores,31,Mujer Cis,Junior
Santa Fe,Full-Time,Staff (planta permanente),250000,Manager / Director,8,"Arduino o similar, Docker, Firebase, Kubernetes, Linux, OpenStack, Windows Server","Arduino, Bash/Shell, Go, Perl, PHP, Python, SQL, VBA",Ninguno de los anteriores,"ElasticSearch, MariaDB, Microsoft SQL Server, MongoDB, Neo4j, PostgreSQL, ProxySQL",Ninguna de las anteriores,36,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,9000000,QA / Tester,15,"Amazon Web Services, Docker",".NET, HTML, Java, Javascript, SQL",".NET Core, jQuery, Node.js, React.js","MariaDB, MySQL","Appium, Cypress, Jest, karate framework",38,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,4000000,Developer,20,"Azure, Docker, Kubernetes, Linux","Bash/Shell, Python, SQL","Spark, FastAPI","ElasticSearch, MongoDB, Redis",pytest,45,Hombre Cis,Senior
Santa Fe,Full-Time,Contractor,990000,Developer,18,Ninguna de las anteriores,"Bash/Shell, Javascript, Solidity, TypeScript","Next.js, Node.js, React.js",Ninguna de las anteriores,Ninguna de las anteriores,40,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1232000,Developer,20,Ninguna de las anteriores,"HTML, Javascript, SQL, TypeScript","Angular, Node.js","Google Cloud Storage, PostgreSQL",Jest,54,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),200000,Technical Support,20,Google Cloud Platform,"CSS, HTML, PHP",WordPress,MySQL,Ninguna de las anteriores,52,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2000000,Developer,10,Ninguna de las anteriores,"Java, SQL","Hibernate, jQuery, Spring",Oracle,JUnit,45,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2733000,Developer,4,"Docker, Kubernetes, Linux","Go, Java",Spring,"Amazon DynamoDB, Cassandra, ElasticSearch, Google Cloud Storage, MariaDB, MongoDB, ProxySQL",Ninguna de las anteriores,30,Hombre Cis,Semi-Senior
Tucumán,Full-Time,Staff (planta permanente),3500000,Developer,20,Docker,"HTML, Javascript, PHP, SQL, TypeScript","Laravel, Next.js, Node.js, Vue.js","MongoDB, MySQL, Redis","Mocha, PHPUnit, Postman, Puppeteer",42,Mujer Cis,Senior
Buenos Aires,Full-Time,Contractor,1100000,Developer,2,"Docker, Digital Ocean","CSS, Javascript, Python, SQL, TypeScript","Next.js, Node.js, React.js, NestJs","PostgreSQL, Redis",Ninguna de las anteriores,24,Hombre Cis,Junior
Córdoba,Full-Time,Contractor,7000000,Developer,20,"Amazon Web Services, Docker, Linux","Python, SQL",fondat,"Amazon RDS/Aurora, PostgreSQL",Ninguna de las anteriores,48,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),8000000,Manager / Director,10,"Amazon Web Services, Docker, Kubernetes, Linux","Javascript, Python, SQL","Django, Flask, jQuery, Next.js, Node.js, React.js","MongoDB, MySQL",Ninguna de las anteriores,35,Prefiero no decir,Senior
Buenos Aires,Part-Time,Tercerizado (trabajo a través de consultora o agencia),2500000,Developer,6,Firebase,"Dart, Java, Kotlin",Ninguno de los anteriores,SQLite,Ninguna de las anteriores,39,Hombre Cis,Senior
Santa Fe,Full-Time,Staff (planta permanente),5000000,Manager / Director,20,Azure,".NET, C#, Javascript, Python, SQL, TypeScript",".NET Core, TensorFlow",Microsoft SQL Server,"Cypress, Selenium",46,Hombre Cis,Senior
Córdoba,Full-Time,Staff (planta permanente),3548798,Infosec,15,-,-,-,-,-,45,Hombre Cis,Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),600000,Developer,20,Amazon Web Services,"Java, Javascript, TypeScript",Ninguno de los anteriores,MongoDB,"JUnit, TestNG",45,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),1700000,Developer,8,SAP,ABAP,SAP,"HANA, Oracle",Postman,32,Mujer Cis,Senior
Buenos Aires,Full-Time,Contractor,9600000,Technical Leader,12,"Amazon Web Services, Firebase, Linux, Serverless","CSS, HTML, Java, Javascript, Kotlin, Objective-C, Python, SQL, Swift, TypeScript","Django, Flask, Hibernate, jQuery, Next.js, Node.js, React.js, SwiftUI, Spring","Amazon DynamoDB, ElasticSearch, Google Cloud Storage, PostgreSQL","Appium, Jest, JUnit, Postman, Selenium, Detox",30,Hombre Cis,Senior
Córdoba,Full-Time,Staff (planta permanente),2800000,Developer,9,"Amazon Web Services, Docker, Google Cloud Platform, Serverless",".NET, C#, Go, Java, SQL",Ninguno de los anteriores,"Amazon Redshift, Google Cloud Storage, MySQL","Cypress, JUnit, Postman",45,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1882207,Recruiter,6,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,28,Mujer Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),4000000,Manager / Director,30,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,57,Hombre Cis,Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),7000000,Developer,22,"Arduino o similar, Azure, Linux, Microcontroladores, SAP",".NET, Assembler, Bash/Shell, C, C++, C#, Go, Matlab, Python",".NET Core, SAP, SAP Hana, yocto, pytest, azure iot","HANA, Microsoft Azure (Tables, CosmosDB, SQL, etc), Redis, SQLite","pytest, gtest",38,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1842000,SysAdmin / DevOps / SRE,21,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux, Windows Server",Bash/Shell,Ninguno de los anteriores,"Amazon Redshift, Amazon RDS/Aurora, MariaDB, MySQL, PostgreSQL",Ninguna de las anteriores,42,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2324307,SysAdmin / DevOps / SRE,10,"Amazon Web Services, Docker, Kubernetes, Linux, OpenStack","Bash/Shell, Go, Python, Ruby",Ninguno de los anteriores,Percona XtraDB Cluster,[bashunit](https://bashunit.typeddevs.com/),32,Hombre Cis,Senior
Córdoba,Full-Time,Participación societaria en una cooperativa,1000000,Developer,5,"Firebase, Linux","HTML, Java, Javascript, Kotlin, PHP, Python, SQL, TypeScript","Flask, Node.js, WordPress","MongoDB, MySQL, PostgreSQL","JUnit, Mocha",30,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2100000,SysAdmin / DevOps / SRE,5,"Amazon Web Services, Kubernetes, Linux, OpenStack","Bash/Shell, Go",Ninguno de los anteriores,"ElasticSearch, MongoDB, Percona Server",Ninguna de las anteriores,30,Hombre Cis,Semi-Senior
Córdoba,Full-Time,Contractor,4000000,SysAdmin / DevOps / SRE,4,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux, OpenStack, Serverless, Windows Server","Bash/Shell, Go, Groovy, PHP, Python, SQL",Ninguno de los anteriores,"Amazon DynamoDB, Amazon RDS/Aurora, Google Cloud Storage, MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, PostgreSQL, SQLite",Postman,31,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),3500000,Developer,13,"Amazon Web Services, Docker, Linux","Java, Python, Scala",Spring,"Cassandra, MariaDB, Redis","JUnit, Postman",33,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1200000,SysAdmin / DevOps / SRE,25,Ninguna de las anteriores,".NET, HTML, SQL",SAP,"Microsoft SQL Server, Oracle",.,57,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2500000,Manager / Director,12,Trabajo en diseño,Trabajo en diseño,Trabajo en diseño,Trabajo en diseño,Trabajo en diseño,44,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),1456400,Developer,5,Azure,"C#, CSS, Javascript, TypeScript",".NET Core, Angular, Bootstrap",Microsoft SQL Server,Ninguna de las anteriores,29,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1600000,Manager / Director,9,Azure,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,33,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,7200000,Developer,21,"Amazon Web Services, Docker, Linux","Bash/Shell, HTML, Javascript, PHP, Python, SQL, TypeScript","Laravel, Vue.js","Cassandra, ElasticSearch, MySQL, SQLite",PHPUnit,40,Prefiero no decir,Senior
Córdoba,Full-Time,Freelance,2500000,SysAdmin / DevOps / SRE,8,"Amazon Web Services, Docker, Kubernetes, Linux, OpenShift, Windows Server",".NET, C#, Javascript, SQL, TypeScript",".NET Core, Angular, Node.js","Microsoft SQL Server, MongoDB, MySQL, PostgreSQL, Redis, SQLite",Ninguna de las anteriores,30,Hombre Cis,Senior
Buenos Aires,Part-Time,Freelance,3000000,SysAdmin / DevOps / SRE,26,"Docker, Kubernetes, Linux, VMWare, Windows Server","Bash/Shell, PHP",WordPress,"MariaDB, MySQL, PostgreSQL",Ninguna de las anteriores,44,Hombre Cis,Senior
San Juan,Full-Time,Contractor,4524000,Data Scientist,7,Azure,"Bash/Shell, Python, SQL",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,31,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),2232179,Developer,5,"Amazon Web Services, Azure",".NET, C#, CSS, HTML, Javascript, Ruby, TypeScript",".NET Core, Angular, Node.js, Rails, React.js","Microsoft SQL Server, PostgreSQL","Appium, PlayWright",26,Hombre Cis,Semi-Senior
Santa Fe,Full-Time,Contractor,4600000,Developer,5,"Firebase, Serverless","HTML, Javascript, TypeScript","jQuery, Next.js, Node.js, React.js","Google Cloud Storage, Microsoft Azure (Tables, CosmosDB, SQL, etc), MongoDB",Ninguna de las anteriores,32,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),850000,Developer,7,SAP,ABAP,"SAP, SAP Hana",HANA,Ninguna de las anteriores,34,Prefiero no decir,Senior
Santa Fe,Full-Time,Staff (planta permanente),2800000,Developer,8,"Docker, VMWare, Windows Server","CSS, Delphi, HTML, Javascript, Python, SQL","Next.js, Node.js, React.js","MariaDB, Microsoft SQL Server, PostgreSQL",Ninguna de las anteriores,36,Hombre Cis,Senior
Córdoba,Full-Time,Staff (planta permanente),879840,Developer,1,"Amazon Web Services, Kubernetes, Linux",Java,"jQuery, Node.js","Amazon DynamoDB, Amazon Redshift, Amazon HBase, Amazon RDS/Aurora",Cucumber,27,Mujer Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2000000,Developer,6,"Docker, Google Cloud Platform","CSS, HTML, Javascript, TypeScript","Angular, Next.js, Node.js, React.js","Google Cloud Storage, Microsoft Azure (Tables, CosmosDB, SQL, etc)","Jest, Postman",27,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),780000,Developer,4,"Amazon Web Services, Azure","CSS, HTML, Javascript, SQL, TypeScript","Angular, Node.js","Amazon DynamoDB, PostgreSQL",Postman,26,Mujer Cis,Semi-Senior
Buenos Aires,Full-Time,Contractor,1200000,Developer,3,"Docker, Linux","Javascript, Python, Solidity, TypeScript",React.js,Ninguna de las anteriores,Ninguna de las anteriores,39,Mujer Cis,Semi-Senior
